datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.8180942526586531,2022,1,1,1.0,10.818094252658653
2022-01-01 01:00:00,2022-01-01 01:00:00,0.616287391071558,2022,1,1,0.9999997588734665,10.616284979806224
2022-01-01 02:00:00,2022-01-01 02:00:00,0.4807453290104011,2022,1,1,0.9999990354939822,10.480735683950224
2022-01-01 03:00:00,2022-01-01 03:00:00,0.1403160463900036,2022,1,1,0.999997829861896,10.140294345008963
2022-01-01 04:00:00,2022-01-01 04:00:00,0.8194624499055617,2022,1,1,0.9999961419777894,10.819423869683455
2022-01-01 05:00:00,2022-01-01 05:00:00,0.83344895219444,2022,1,1,0.9999939718424762,10.833388670619202
2022-01-01 06:00:00,2022-01-01 06:00:00,0.8497881632459271,2022,1,1,0.9999913194570031,10.849701357815958
2022-01-01 07:00:00,2022-01-01 07:00:00,0.3938474624024464,2022,1,1,0.9999881848226492,10.393729310628938
2022-01-01 08:00:00,2022-01-01 08:00:00,0.25501558009475733,2022,1,1,0.9999845679409262,10.254861259504018
2022-01-01 09:00:00,2022-01-01 09:00:00,0.9442138669678952,2022,1,1,0.9999804688135782,10.944018555103678
2022-01-01 10:00:00,2022-01-01 10:00:00,0.3668681947877166,2022,1,1,0.9999758874425823,10.36662706921354
2022-01-01 11:00:00,2022-01-01 11:00:00,0.4679610383650322,2022,1,1,0.9999708238301476,10.46766927666651
2022-01-01 12:00:00,2022-01-01 12:00:00,0.714323562548724,2022,1,1,0.9999652779787161,10.713976342335886
2022-01-01 13:00:00,2022-01-01 13:00:00,0.4645079068452722,2022,1,1,0.9999592498909624,10.464100405754897
2022-01-01 14:00:00,2022-01-01 14:00:00,0.5116607009341303,2022,1,1,0.9999527395697936,10.511188096632065
2022-01-01 15:00:00,2022-01-01 15:00:00,0.10232216216218648,2022,1,1,0.9999457470183493,10.10177963234568
2022-01-01 16:00:00,2022-01-01 16:00:00,0.9302285539897936,2022,1,1,0.9999382722400014,10.929611276389808
2022-01-01 17:00:00,2022-01-01 17:00:00,0.3405327279385286,2022,1,1,0.9999303152383551,10.33983588032208
2022-01-01 18:00:00,2022-01-01 18:00:00,0.3213668716558231,2022,1,1,0.9999218760172474,10.320585631828296
2022-01-01 19:00:00,2022-01-01 19:00:00,0.670418457399225,2022,1,1,0.999912954580748,10.669548003206707
2022-01-01 20:00:00,2022-01-01 20:00:00,0.8005353581670234,2022,1,1,0.9999035509331596,10.79957086749862
2022-01-01 21:00:00,2022-01-01 21:00:00,0.14325522229298526,2022,1,1,0.9998936650790171,10.142191873083156
2022-01-01 22:00:00,2022-01-01 22:00:00,0.08844848021569451,2022,1,1,0.9998832970230879,10.087281450446573
2022-01-01 23:00:00,2022-01-01 23:00:00,0.6663967460753522,2022,1,1,0.9998724467703719,10.66512121377907
2022-01-02 00:00:00,2022-01-02 00:00:00,0.12018564372804319,2022,1,2,0.9998611143261019,10.118796786989062
2022-01-02 01:00:00,2022-01-02 01:00:00,0.49049129168133876,2022,1,2,0.9998492996957429,10.488984288638768
2022-01-02 02:00:00,2022-01-02 02:00:00,0.352305402207166,2022,1,2,0.9998370028849926,10.350675431057093
2022-01-02 03:00:00,2022-01-02 03:00:00,0.2388312711119307,2022,1,2,0.999824223899781,10.23707351010974
2022-01-02 04:00:00,2022-01-02 04:00:00,0.12111619461776024,2022,1,2,0.9998109627462709,10.11922582208047
2022-01-02 05:00:00,2022-01-02 05:00:00,0.16784079833364196,2022,1,2,0.9997972194308576,10.16581299264222
2022-01-02 06:00:00,2022-01-02 06:00:00,0.3609155558914463,2022,1,2,0.9997829939601689,10.358745495493135
2022-01-02 07:00:00,2022-01-02 07:00:00,0.0720380282932811,2022,1,2,0.999768286341065,10.06972089170393
2022-01-02 08:00:00,2022-01-02 08:00:00,0.5241328508995573,2022,1,2,0.9997530965806385,10.521663816705942
2022-01-02 09:00:00,2022-01-02 09:00:00,0.40065619246252004,2022,1,2,0.999737424686215,10.39803043932467
2022-01-02 10:00:00,2022-01-02 10:00:00,0.9491357079548995,2022,1,2,0.9997212706653522,10.946348414608423
2022-01-02 11:00:00,2022-01-02 11:00:00,0.7291703153793763,2022,1,2,0.9997046345258405,10.72621666063778
2022-01-02 12:00:00,2022-01-02 12:00:00,0.8452899223551313,2022,1,2,0.9996875162757026,10.842165085112159
